node  97, random: 0.54, exploitation, C, payoff: 2.0, current q table: [C: 0.20, D: 0.00]
node  98, random: 0.60, exploitation, C, payoff: 3.0, current q table: [C: 0.30, D: 0.00]
node  99, random: 0.00, None        , C, payoff: 9.0, current q table: [C: 0.00, D: 0.00]


node   0, random: 0.62, exploitation, C, payoff: 5.0, current q table: [C: 0.98, D: 0.00]
node   1, random: 0.44, exploitation, C, payoff: 5.0, current q table: [C: 0.98, D: 0.00]
node   2, random: 0.36, exploitation, C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node   3, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node   4, random: 0.42, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.18]
node   5, random: 0.77, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 0.94]
node   6, random: 0.52, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node   7, random: 0.13, exploitation, C, payoff: 2.0, current q table: [C: 0.39, D: 0.00]
node   8, random: 0.01, exploration , D, payoff: 6.0, current q table: [C: 0.00, D: 1.18]
node   9, random: 0.69, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node  10, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node  11, random: 0.89, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node  12, random: 1.00, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.18]
node  13, random: 0.55, exploitation, C, payoff: 5.0, current q table: [C: 0.98, D: 0.00]
node  14, random: 0.14, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
node  15, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node  16, random: 0.48, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 0.94]
node  17, random: 0.00, None        , C, payoff: 6.0, current q table: [C: 0.00, D: 0.00]
node  18, random: 0.78, exploitation, C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node  19, random: 0.26, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node  20, random: 0.40, exploitation, C, payoff: 4.0, current q table: [C: 0.78, D: 0.00]
node  21, random: 0.13, exploitation, C, payoff: 2.0, current q table: [C: 0.39, D: 0.00]
node  22, random: 0.54, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.18]
node  23, random: 0.47, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 0.94]
node  24, random: 0.70, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  25, random: 0.80, exploitation, C, payoff: 2.0, current q table: [C: 0.39, D: 0.00]
node  26, random: 0.97, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  27, random: 0.67, exploitation, C, payoff: 5.0, current q table: [C: 0.88, D: 0.00]
node  28, random: 0.28, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  29, random: 0.49, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node  30, random: 0.25, exploitation, C, payoff: 2.0, current q table: [C: 0.39, D: 0.00]
node  31, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node  32, random: 0.70, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
node  33, random: 0.80, exploitation, C, payoff: 3.0, current q table: [C: 0.59, D: 0.00]
node  34, random: 0.88, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  35, random: 0.89, exploitation, C, payoff: 2.0, current q table: [C: 0.39, D: 0.00]
node  36, random: 0.07, exploration , D, payoff: 1.2, current q table: [C: 0.00, D: 0.24]
node  37, random: 0.38, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.24]
node  38, random: 0.77, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
node  39, random: 0.00, exploration , D, payoff: 3.6, current q table: [C: 0.00, D: 0.71]
